Mesa_Num,Mesa_ID,Ruta,Estado
2,101034,ACTAS/Argentina/Buenos Aires/Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea /mesa_2_101034.jpg,OK
4,101054,ACTAS/Argentina/Buenos Aires/Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea /mesa_4_101054.jpg,OK
3,101044,ACTAS/Argentina/Buenos Aires/Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea /mesa_3_101044.jpg,OK
6,101074,ACTAS/Argentina/Buenos Aires/Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea /mesa_6_101074.jpg,OK
5,101064,ACTAS/Argentina/Buenos Aires/Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea /mesa_5_101064.jpg,OK
1,101824,ACTAS/Argentina/Buenos Aires/Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón/mesa_1_101824.jpg,OK
7,101084,ACTAS/Argentina/Buenos Aires/Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea /mesa_7_101084.jpg,OK
8,101094,ACTAS/Argentina/Buenos Aires/Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea /mesa_8_101094.jpg,OK
4,101854,ACTAS/Argentina/Buenos Aires/Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón/mesa_4_101854.jpg,OK
3,101844,ACTAS/Argentina/Buenos Aires/Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón/mesa_3_101844.jpg,OK
5,101864,ACTAS/Argentina/Buenos Aires/Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón/mesa_5_101864.jpg,OK
2,101834,ACTAS/Argentina/Buenos Aires/Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón/mesa_2_101834.jpg,OK
8,101784,ACTAS/Argentina/Buenos Aires/Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón/mesa_8_101784.jpg,OK
7,101774,ACTAS/Argentina/Buenos Aires/Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón/mesa_7_101774.jpg,OK
6,101764,ACTAS/Argentina/Buenos Aires/Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón/mesa_6_101764.jpg,OK
9,101794,ACTAS/Argentina/Buenos Aires/Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón/mesa_9_101794.jpg,OK
10,101804,ACTAS/Argentina/Buenos Aires/Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón/mesa_10_101804.jpg,OK
1,101104,ACTAS/Argentina/Buenos Aires/Escuela De Jornada Simple Nº 07 D.E. 18 Republica Arabe de Egipto/mesa_1_101104.jpg,OK
11,101814,ACTAS/Argentina/Buenos Aires/Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón/mesa_11_101814.jpg,OK
